epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency,train_rec_loss,train_rgrecl_loss,train_rgrecl_weighted_loss,train_rgrecl_hard_region_fraction,train_rgrecl_sampled_hard_fraction,train_rgrecl_positive_similarity
37,0.00007158,0.482537,0.140417,14.6384,0.341371,40,0,0.63362756,65536.0,0.211418,0.131996,14.5159,0.435226,0.140976,14.4032,0.425713,0.07773162,0.78957526,0.14041729,0.13199604,0.56452210,0.48494095,0.04169114,0.03995330,0.00437950,0.00544881,0.06318778,0.05939822,0.16935663,0.14548229,0.00625367,0.00599299,0.00043795,0.00054488,0.23923604,4.86602101,0.24330105,0.20000694,0.24791667,0.73009976
38,0.00007016,0.482666,0.140325,14.6663,0.335966,40,0,0.60855213,65536.0,0.212232,0.132995,14.5688,0.433539,0.142094,14.4571,0.419342,0.07757872,0.78407045,0.14032542,0.13299524,0.57292283,0.48628528,0.04101573,0.03975254,0.00482575,0.00535787,0.06314644,0.05984786,0.17187686,0.14588559,0.00615236,0.00596288,0.00048258,0.00053579,0.24165823,4.82015339,0.24100767,0.20000694,0.24853516,0.73493893
39,0.00006872,0.480327,0.138281,14.9336,0.337589,40,0,0.57871911,65536.0,0.211676,0.131468,14.6149,0.432626,0.140551,14.4859,0.418859,0.07819731,0.78580316,0.13828132,0.13146794,0.56984336,0.48661350,0.04087576,0.03996516,0.00336821,0.00536745,0.06222659,0.05916057,0.17095302,0.14598406,0.00613136,0.00599477,0.00033682,0.00053674,0.23964780,4.81357672,0.24067884,0.20000694,0.24218750,0.73612533
40,0.00006727,0.485339,0.139214,14.6308,0.333824,40,0,0.73438753,65536.0,0.208644,0.129229,14.6949,0.439812,0.138222,14.5554,0.427059,0.07797343,0.78991888,0.13921450,0.12922921,0.57319097,0.47999638,0.04192731,0.03995968,0.00467547,0.00498002,0.06264652,0.05815314,0.17195730,0.14399892,0.00628910,0.00599395,0.00046755,0.00049800,0.24136046,4.87956747,0.24397838,0.20000694,0.25052083,0.72622334
41,0.00006580,0.484619,0.136523,14.8796,0.337458,40,0,0.56727151,65536.0,0.218639,0.135826,14.4352,0.422765,0.146185,14.2186,0.404040,0.08010028,0.80515640,0.13652303,0.13582593,0.57073619,0.50323934,0.04119634,0.04016044,0.00432687,0.00521752,0.06143536,0.06112167,0.17122086,0.15097181,0.00617945,0.00602407,0.00043269,0.00052175,0.23926837,4.90700722,0.24535036,0.20000694,0.24671224,0.72050012
42,0.00006431,0.462435,0.130540,15.0700,0.366610,40,0,0.57476972,65536.0,0.208871,0.130891,14.5241,0.443149,0.140296,14.3838,0.427387,0.07754650,0.79202411,0.13053983,0.13089093,0.53272744,0.47785091,0.04088575,0.03979918,0.00417296,0.00644855,0.05874292,0.05890092,0.15981824,0.14335528,0.00613286,0.00596988,0.00041730,0.00064485,0.22511132,4.74647186,0.23732360,0.20000694,0.24651693,0.74077670
43,0.00006281,0.495313,0.144789,14.3005,0.320335,40,0,0.57597651,65536.0,0.206467,0.128748,14.7467,0.446353,0.138451,14.5526,0.431220,0.07630668,0.79323265,0.14478901,0.12874839,0.59193245,0.47356230,0.04127829,0.03932650,0.00470476,0.00562908,0.06515505,0.05793678,0.17757974,0.14206869,0.00619174,0.00589898,0.00047048,0.00056291,0.24939702,4.91831746,0.24591588,0.20000694,0.25621745,0.72171808
44,0.00006130,0.475415,0.136360,15.0359,0.333313,40,0,0.55374283,65536.0,0.208992,0.131040,14.6551,0.441218,0.141108,14.4711,0.419378,0.07769710,0.79089343,0.13636015,0.13104043,0.57289532,0.47870436,0.04035343,0.03953078,0.00354163,0.00483238,0.06136207,0.05896819,0.17186860,0.14361131,0.00605302,0.00592962,0.00035416,0.00048324,0.23963785,4.71553489,0.23577675,0.20000694,0.24853516,0.73491773
45,0.00005978,0.461477,0.133927,14.8609,0.390051,40,0,0.67486888,65536.0,0.206283,0.128506,14.7930,0.446069,0.138242,14.6257,0.425509,0.07738246,0.77962440,0.13392729,0.12850559,0.51252437,0.47333344,0.04127462,0.03952015,0.00529656,0.00527574,0.06026728,0.05782752,0.15375732,0.14200004,0.00619119,0.00592802,0.00052966,0.00052757,0.22074544,4.81464097,0.24073205,0.20000694,0.25257161,0.72130240
46,0.00005824,0.454479,0.123981,15.4336,0.372972,40,0,0.62057336,65536.0,0.206208,0.126814,14.8605,0.445145,0.136922,14.6231,0.424703,0.07724919,0.78830412,0.12398104,0.12681411,0.52985164,0.47567634,0.03980778,0.03939528,0.00428140,0.00529598,0.05579147,0.05706635,0.15895550,0.14270290,0.00597117,0.00590929,0.00042814,0.00052960,0.22114627,4.66665939,0.23333297,0.20000694,0.24475911,0.73807599
