epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency,train_rec_loss,train_rarecl_latent_loss,train_rarecl_region_loss,train_rarecl_weighted_latent_loss,train_rarecl_weighted_region_loss,train_rarecl_hard_region_fraction,train_rarecl_sampled_hard_fraction,train_rarecl_latent_similarity,train_rarecl_region_positive_similarity
25,0.00008658,0.525331,0.158235,13.9925,0.287719,40,0,0.54911290,65536.0,0.232938,0.145384,13.9057,0.389545,0.153997,13.8272,0.390953,0.08189516,0.79679189,0.15823471,0.14538363,0.62005407,0.53672252,0.04342441,0.04087488,0.00455275,0.00367417,0.07120562,0.06542263,0.18601623,0.16101676,0.00651366,0.00613123,0.00045528,0.00036742,0.26419078,0.17026971,5.05252839,0.00851349,0.25262642,0.20000694,0.25117187,0.82973029,0.82762420
26,0.00008550,0.516948,0.147184,14.3218,0.319631,40,0,0.66676951,65536.0,0.237049,0.143884,14.0366,0.378929,0.152931,13.9024,0.380431,0.08358975,0.80190384,0.14718366,0.14388415,0.58308356,0.55245758,0.04364458,0.04127050,0.00544428,0.00373296,0.06623265,0.06474787,0.17492508,0.16573728,0.00654669,0.00619057,0.00054443,0.00037330,0.24824884,0.18968678,5.18429068,0.00948434,0.25921454,0.20000694,0.24843750,0.81031322,0.80642068
27,0.00008439,0.518930,0.152296,14.0989,0.319816,40,0,0.60060819,65536.0,0.231201,0.142878,14.0589,0.393139,0.151946,13.9466,0.390948,0.08186193,0.79807518,0.15229626,0.14287831,0.58804847,0.53464872,0.04300694,0.04077707,0.00583190,0.00394430,0.06853332,0.06429524,0.17641455,0.16039462,0.00645104,0.00611656,0.00058319,0.00039443,0.25198209,0.18321022,5.15575308,0.00916051,0.25778766,0.20000694,0.24954427,0.81678977,0.81469042
28,0.00008323,0.512657,0.148594,14.2142,0.322853,40,0,0.59906912,65536.0,0.228259,0.141004,14.1534,0.398033,0.150000,14.0273,0.395933,0.08192486,0.79848855,0.14859357,0.14100438,0.58370267,0.52759521,0.04172183,0.04107568,0.00505784,0.00367263,0.06686710,0.06345197,0.17511081,0.15827857,0.00625828,0.00616135,0.00050578,0.00036726,0.24874197,0.17609858,5.10220990,0.00880493,0.25511050,0.20000694,0.25218099,0.82390143,0.82216714
29,0.00008205,0.514212,0.148904,14.3559,0.303285,40,0,0.50804152,65536.0,0.222464,0.137353,14.3288,0.407262,0.146103,14.1959,0.409720,0.07951206,0.80566819,0.14890404,0.13735271,0.60497198,0.51378062,0.04295424,0.04046254,0.00536058,0.00452172,0.06700681,0.06180872,0.18149160,0.15413419,0.00644314,0.00606938,0.00053606,0.00045217,0.25547761,0.16924725,5.00544071,0.00846236,0.25027204,0.20000694,0.24986979,0.83075276,0.82790086
30,0.00008084,0.510620,0.150288,14.4298,0.323230,40,0,0.68106978,65536.0,0.222642,0.138469,14.2487,0.410185,0.147467,14.1387,0.403216,0.08023400,0.79454304,0.15028775,0.13846921,0.58274831,0.51280776,0.04155292,0.04057477,0.00402466,0.00402635,0.06762949,0.06231114,0.17482450,0.15384233,0.00623294,0.00608622,0.00040247,0.00040263,0.24908939,0.17889607,5.05171630,0.00894480,0.25258582,0.20000694,0.24547526,0.82110393,0.81746673
31,0.00007960,0.508590,0.145308,14.2803,0.325311,40,0,0.63667047,65536.0,0.224110,0.136821,14.4062,0.402092,0.145596,14.2715,0.399956,0.08138013,0.79106101,0.14530785,0.13682148,0.57980569,0.51987030,0.04217779,0.04064378,0.00552797,0.00482532,0.06538853,0.06156967,0.17394171,0.15596109,0.00632667,0.00609657,0.00055280,0.00048253,0.24620971,0.18000680,5.06759803,0.00900034,0.25337990,0.20000694,0.25478516,0.81999320,0.81666519
32,0.00007832,0.536133,0.161594,14.0189,0.266876,40,0,0.61395412,65536.0,0.221253,0.135879,14.3539,0.410901,0.144543,14.2591,0.404267,0.08138837,0.79815906,0.16159409,0.13587866,0.64882639,0.51175175,0.04264859,0.04089066,0.00414649,0.00448036,0.07271734,0.06114540,0.19464793,0.15352553,0.00639729,0.00613360,0.00041465,0.00044804,0.27417720,0.17393008,5.06519010,0.00869650,0.25325951,0.20000694,0.24768880,0.82606992,0.82348434
33,0.00007702,0.514104,0.149033,14.2856,0.292288,40,0,0.51442326,65536.0,0.221927,0.136520,14.2062,0.410428,0.145293,14.1363,0.403658,0.07996541,0.79028838,0.14903290,0.13652021,0.61371846,0.51265459,0.04346488,0.04027855,0.00480749,0.00654604,0.06706480,0.06143409,0.18411555,0.15379638,0.00651973,0.00604178,0.00048075,0.00065460,0.25818083,0.16821685,4.95025297,0.00841084,0.24751265,0.20000694,0.25110677,0.83178315,0.82917741
34,0.00007570,0.495740,0.138417,14.7073,0.327795,40,0,0.55270931,65536.0,0.219428,0.133733,14.4549,0.414084,0.142771,14.3237,0.405324,0.08126414,0.79296738,0.13841750,0.13373256,0.57500663,0.50897472,0.04248305,0.04062770,0.00475780,0.00461640,0.06228787,0.06017965,0.17250200,0.15269242,0.00637246,0.00609416,0.00047578,0.00046164,0.24163811,0.16981792,4.91222335,0.00849090,0.24561117,0.20000694,0.25019531,0.83018208,0.82603158
