epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency,train_rec_loss,train_medrecl_loss,train_medrecl_weighted_loss,train_medrecl_weight,train_medrecl_structure_weight,train_medrecl_appearance_weight,train_medrecl_structure_gradient_scale,train_medrecl_appearance_gradient_scale,train_medrecl_structure_gradient_ratio,train_medrecl_appearance_gradient_ratio,train_medrecl_appearance_amplitude_loss,train_medrecl_appearance_contextual_loss,train_medrecl_appearance_stat_loss,train_medrecl_soft_positive_similarity,train_medrecl_false_negative_ratio,train_medrecl_invariance_loss
23,0.00008864,0.274409,0.165958,13.5298,0.277124,40,0,0.36731710,65536.0,0.250683,0.154204,13.3335,0.362848,0.164110,13.2013,0.355413,0.08359828,0.81910629,0.16595811,0.15420382,0.63965984,0.58213945,0.04246237,0.04146812,0.00438124,0.00429499,0.07468115,0.06939172,0.19189796,0.17464184,0.00636936,0.00622022,0.00043812,0.00042950,0.27338659,1.0434063339e+01,0.00102236,0.00009829,0.00009829,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07351883,0.00000000,1.15642686
24,0.00008763,0.254665,0.149597,14.0904,0.316987,40,0,0.38643870,65536.0,0.239098,0.141707,14.0711,0.371644,0.150229,13.9400,0.380659,0.08175716,0.81188937,0.14959703,0.14170712,0.59455760,0.56259266,0.04300590,0.04094269,0.00573459,0.00410595,0.06731866,0.06376820,0.17836729,0.16877780,0.00645089,0.00614140,0.00057346,0.00041059,0.25271029,1.0279664707e+01,0.00195431,0.00019029,0.00019029,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.07559706,0.00000000,0.74583034
25,0.00008658,0.263558,0.150774,14.3392,0.294434,40,0,0.38593435,65536.0,0.236210,0.145355,13.7037,0.384731,0.154660,13.6108,0.382288,0.08209027,0.80961943,0.15077351,0.14535516,0.61959406,0.54727831,0.04189421,0.04105908,0.00382423,0.00458200,0.06784808,0.06540982,0.18587823,0.16418350,0.00628413,0.00615886,0.00038242,0.00045820,0.26039286,1.0142429757e+01,0.00316501,0.00031195,0.00031195,0.00000000,1.00000000,1.00000000,0.00007878,0.00000000,0.00000000,0.00000000,0.00000000,0.07456630,0.00000000,0.85535460
26,0.00008550,0.250304,0.147008,14.2945,0.331910,40,0,0.38259719,65536.0,0.236967,0.144238,13.8550,0.383549,0.153210,13.7627,0.378020,0.08278747,0.80751859,0.14700817,0.14423836,0.57583167,0.55154629,0.04183173,0.04119522,0.00486224,0.00416444,0.06615368,0.06490726,0.17274951,0.16546389,0.00627476,0.00617928,0.00048622,0.00041644,0.24566417,1.0027799344e+01,0.00463937,0.00046251,0.00046251,0.00000000,1.00000000,1.00000000,0.00007080,0.00000000,0.00000000,0.00000000,0.00000000,0.07345076,0.00000000,0.65222875
27,0.00008439,0.266674,0.151087,13.9087,0.296185,40,0,0.36191468,65536.0,0.233561,0.143610,13.8692,0.391771,0.153411,13.7132,0.386320,0.08073404,0.82303321,0.15108680,0.14361033,0.61803466,0.54127381,0.04224187,0.04075443,0.00451261,0.00441117,0.06798906,0.06462465,0.18541041,0.16238215,0.00633628,0.00611316,0.00045126,0.00044112,0.26018701,1.0121784496e+01,0.00648737,0.00064104,0.00064104,0.00000000,1.00000000,1.00000000,0.00009833,0.00000000,0.00000000,0.00000000,0.00000000,0.05847121,0.00000000,0.72426776
28,0.00008323,0.251682,0.141418,14.4320,0.333988,40,0,0.40222684,65536.0,0.231538,0.143458,13.8221,0.395686,0.153011,13.7117,0.384987,0.08156704,0.81192029,0.14141788,0.14345813,0.57612391,0.53474677,0.04131403,0.04080953,0.00588180,0.00436153,0.06363804,0.06455616,0.17283718,0.16042404,0.00619710,0.00612143,0.00058818,0.00043615,0.24326051,9.9555838585e+00,0.00842118,0.00084645,0.00084645,0.00000000,1.00000000,1.00000000,0.00178766,0.00000000,0.00000000,0.00000000,0.00000000,0.05857086,0.00000000,0.53937127
29,0.00008205,0.276130,0.155825,13.9729,0.288622,40,0,0.38716053,65536.0,0.233587,0.142962,13.8455,0.391550,0.152389,13.7313,0.383744,0.08172517,0.81270929,0.15582537,0.14296201,0.62872823,0.54219736,0.04189977,0.04093059,0.00378532,0.00455297,0.07012141,0.06433290,0.18861848,0.16265921,0.00628496,0.00613959,0.00037853,0.00045530,0.26540339,9.9537599802e+00,0.01072678,0.00107746,0.00107746,0.00000000,1.00000000,1.00000000,0.00144927,0.00000000,0.00000000,0.00000000,0.00000000,0.05290810,0.00000000,0.76077421
30,0.00008084,0.259503,0.144807,14.4173,0.327639,40,0,0.42376610,65536.0,0.232101,0.144439,13.7891,0.397712,0.154681,13.6079,0.386292,0.08065610,0.82079503,0.14480682,0.14443897,0.58243630,0.53514254,0.04110025,0.04067279,0.00540628,0.00459950,0.06516307,0.06499754,0.17473090,0.16054277,0.00616504,0.00610092,0.00054063,0.00045995,0.24659963,9.6865958929e+00,0.01290375,0.00133266,0.00133266,0.00000000,1.00000000,1.00000000,0.00349856,0.00000000,0.00000000,0.00000000,0.00000000,0.05112717,0.00000000,0.59041316
31,0.00007960,0.261091,0.145537,14.3293,0.330502,40,0,0.43553369,65536.0,0.222207,0.138795,14.0481,0.414726,0.147936,13.9648,0.404548,0.07868956,0.79788969,0.14553737,0.13879516,0.57790969,0.51055048,0.04177224,0.04020612,0.00484259,0.00553519,0.06549182,0.06245782,0.17337292,0.15316515,0.00626584,0.00603092,0.00048426,0.00055352,0.24561483,9.6139419556e+00,0.01547590,0.00161047,0.00161047,0.00000000,1.00000000,1.00000000,0.00063780,0.00000000,0.00000000,0.00000000,0.00000000,0.04777085,0.00000000,0.57794082
32,0.00007832,0.258752,0.145726,14.2729,0.346972,40,0,0.40452535,65536.0,0.226074,0.138858,14.1186,0.406685,0.148755,13.9751,0.392414,0.08146440,0.79893521,0.14572606,0.13885773,0.56111092,0.52341019,0.04170756,0.04075676,0.00506730,0.00451017,0.06557672,0.06248598,0.16833328,0.15702307,0.00625613,0.00611351,0.00050673,0.00045102,0.24067287,9.4713532686e+00,0.01807913,0.00190918,0.00190918,0.00000000,1.00000000,1.00000000,0.00230114,0.00000000,0.00000000,0.00000000,0.00000000,0.04862458,0.00000000,0.50149750
