epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency
26,0.00008550,0.247776,0.152510,14.1844,0.334276,40,0,0.41537170,65536.0,0.232467,0.141153,14.1504,0.385375,0.149326,14.0418,0.390951,0.08130931,0.80881613,0.15250967,0.14115326,0.57457086,0.54110178,0.04207262,0.04093635,0.00464024,0.00477077,0.06862935,0.06351897,0.17237127,0.16233054,0.00631089,0.00614045,0.00046402,0.00047708
27,0.00008439,0.259433,0.157635,14.0615,0.306319,40,0,0.41410319,65536.0,0.227793,0.142060,13.9132,0.400603,0.150388,13.9071,0.393741,0.08315343,0.79690386,0.15763518,0.14206021,0.60534216,0.52414998,0.04276582,0.04129371,0.00479529,0.00426871,0.07093583,0.06392709,0.18160266,0.15724500,0.00641487,0.00619406,0.00047953,0.00042687
28,0.00008323,0.251007,0.151049,14.2909,0.319654,40,0,0.41521072,65536.0,0.222651,0.139798,14.1591,0.412793,0.148231,14.1025,0.411497,0.08080512,0.79661326,0.15104920,0.13979829,0.58732254,0.51073726,0.04273171,0.04082250,0.00428352,0.00396869,0.06797214,0.06290923,0.17619677,0.15322118,0.00640976,0.00612338,0.00042835,0.00039687
29,0.00008205,0.247747,0.148416,14.4201,0.327096,40,0,0.42282756,65536.0,0.224490,0.141414,14.0416,0.411268,0.150403,13.9670,0.405921,0.08113398,0.80026034,0.14841561,0.14141355,0.58128534,0.51443902,0.04156542,0.04068634,0.00339686,0.00418946,0.06678702,0.06363610,0.17438561,0.15433171,0.00623481,0.00610295,0.00033969,0.00041895
30,0.00008084,0.254323,0.149873,14.4500,0.312132,40,0,0.41173491,65536.0,0.229254,0.142319,14.0456,0.400672,0.151760,13.9141,0.394458,0.08184638,0.80031227,0.14987300,0.14231909,0.60090618,0.52877124,0.04129709,0.04080645,0.00414005,0.00458474,0.06744285,0.06404359,0.18027186,0.15863138,0.00619456,0.00612097,0.00041401,0.00045847
31,0.00007960,0.235217,0.139126,14.6471,0.349457,40,0,0.45498767,65536.0,0.221520,0.141235,14.1700,0.418779,0.150304,14.0588,0.412718,0.07995099,0.79403270,0.13912569,0.14123512,0.55287600,0.50471164,0.04122215,0.04021690,0.00563809,0.00517892,0.06260656,0.06355580,0.16586281,0.15141350,0.00618332,0.00603254,0.00056381,0.00051789
32,0.00007832,0.230596,0.137478,14.8409,0.361451,40,0,0.41992102,65536.0,0.215714,0.134383,14.4106,0.425814,0.143015,14.3247,0.420241,0.07981535,0.79679018,0.13747834,0.13438294,0.53996559,0.49572101,0.04219869,0.04050412,0.00411628,0.00449701,0.06186525,0.06047232,0.16198968,0.14871631,0.00632980,0.00607562,0.00041163,0.00044970
33,0.00007702,0.253794,0.150374,14.4610,0.314236,40,0,0.39525416,65536.0,0.220016,0.139911,14.2549,0.421800,0.149229,14.1446,0.409568,0.08066570,0.78375993,0.15037370,0.13991118,0.59803936,0.50191185,0.04200604,0.04042397,0.00413279,0.00418736,0.06766816,0.06296003,0.17941182,0.15057356,0.00630091,0.00606360,0.00041328,0.00041874
34,0.00007570,0.251103,0.144283,14.4623,0.312504,40,0,0.36298922,65536.0,0.212496,0.133946,14.4192,0.435386,0.142818,14.3257,0.424874,0.07822846,0.79103636,0.14428281,0.13394551,0.59831006,0.48581719,0.04202405,0.04008067,0.00379379,0.00463302,0.06492726,0.06027548,0.17949303,0.14574516,0.00630361,0.00601210,0.00037938,0.00046330
35,0.00007435,0.238446,0.136317,14.7738,0.339856,40,0,0.37917905,65536.0,0.213673,0.135121,14.4717,0.434955,0.144514,14.3183,0.426146,0.07835325,0.79249445,0.13631675,0.13512112,0.56806865,0.48802011,0.04142629,0.03984562,0.00469407,0.00485364,0.06134254,0.06080450,0.17042060,0.14640604,0.00621394,0.00597684,0.00046941,0.00048536
36,0.00007297,0.238032,0.139409,14.6242,0.345505,40,0,0.39394224,65536.0,0.213265,0.133892,14.4609,0.433882,0.142992,14.3298,0.425343,0.07806528,0.79650249,0.13940866,0.13389231,0.56204171,0.48835365,0.04149330,0.03983143,0.00461484,0.00532308,0.06273389,0.06025154,0.16861252,0.14650610,0.00622400,0.00597471,0.00046148,0.00053231
37,0.00007158,0.217869,0.123271,15.4043,0.379439,40,0,0.45694625,65536.0,0.213893,0.133326,14.4262,0.433763,0.142308,14.3188,0.421506,0.07880101,0.79172773,0.12327138,0.13332640,0.51976984,0.49123810,0.04028260,0.04004637,0.00423321,0.00517795,0.05547212,0.05999688,0.15593096,0.14737144,0.00604239,0.00600696,0.00042332,0.00051780
38,0.00007016,0.244353,0.136398,14.7357,0.323012,40,0,0.36545909,65536.0,0.209490,0.131448,14.6043,0.442150,0.140066,14.5004,0.437297,0.07738703,0.79236645,0.13639758,0.13144786,0.58815841,0.47932768,0.04121543,0.03990563,0.00344500,0.00554640,0.06137891,0.05915154,0.17644753,0.14379831,0.00618231,0.00598584,0.00034450,0.00055464
39,0.00006872,0.241076,0.143727,14.5672,0.340813,40,0,0.49422039,65536.0,0.209973,0.131767,14.5058,0.440456,0.140801,14.3913,0.426204,0.07747557,0.79249679,0.14372710,0.13176655,0.56569110,0.48058666,0.04176889,0.03987145,0.00425658,0.00521207,0.06467719,0.05929494,0.16970734,0.14417600,0.00626533,0.00598072,0.00042566,0.00052121
40,0.00006727,0.249473,0.137708,14.8983,0.311915,40,0,0.37210674,65536.0,0.210065,0.131678,14.6391,0.441297,0.140997,14.4835,0.426174,0.07765828,0.79094822,0.13770813,0.13167766,0.60370111,0.48107178,0.04049321,0.03985487,0.00319624,0.00510057,0.06196866,0.05925495,0.18111034,0.14432154,0.00607398,0.00597823,0.00031962,0.00051006
41,0.00006580,0.220662,0.133117,14.8888,0.384929,40,0,0.45406030,65536.0,0.210033,0.132037,14.5069,0.441008,0.140736,14.3952,0.427592,0.07808760,0.79330924,0.13311724,0.13203688,0.51321806,0.48007354,0.04157159,0.04012631,0.00557825,0.00575429,0.05990276,0.05941660,0.15396542,0.14402207,0.00623574,0.00601895,0.00055783,0.00057543
42,0.00006431,0.224317,0.130504,15.1672,0.373760,40,0,0.40042401,65536.0,0.208503,0.130688,14.4993,0.444382,0.139399,14.3793,0.438588,0.07674012,0.81216654,0.13050436,0.13068766,0.53057754,0.47663165,0.04031097,0.03996342,0.00370037,0.00709205,0.05872696,0.05880945,0.15917327,0.14298950,0.00604665,0.00599451,0.00037004,0.00070920
43,0.00006281,0.234606,0.140122,14.7523,0.359497,40,0,0.40259814,65536.0,0.203035,0.128754,14.6696,0.458145,0.137500,14.5769,0.441677,0.07625434,0.79666437,0.14012226,0.12875434,0.54975678,0.46210670,0.04102684,0.03958215,0.00469836,0.00526698,0.06305501,0.05793945,0.16492704,0.13863202,0.00615403,0.00593732,0.00046984,0.00052670
44,0.00006130,0.236212,0.136841,14.7052,0.347674,40,0,0.39993674,65536.0,0.211897,0.134976,14.5137,0.440018,0.144666,14.3580,0.419802,0.07885399,0.78524467,0.13684092,0.13497569,0.56039314,0.48206019,0.04070011,0.03980320,0.00410461,0.00569434,0.06157841,0.06073906,0.16811795,0.14461806,0.00610502,0.00597048,0.00041046,0.00056943
45,0.00005978,0.205084,0.126809,15.2563,0.424615,40,0,0.47872843,65536.0,0.204346,0.128551,14.6202,0.453989,0.137396,14.5265,0.437899,0.07761809,0.78945900,0.12680875,0.12855076,0.47148306,0.46638369,0.04013581,0.03979473,0.00554655,0.00613974,0.05706393,0.05784784,0.14144492,0.13991511,0.00602037,0.00596921,0.00055466,0.00061397
46,0.00005824,0.207574,0.121595,15.4887,0.409946,40,0,0.44677124,65536.0,0.203140,0.128223,14.6750,0.457458,0.137359,14.5538,0.438121,0.07712273,0.79144134,0.12159463,0.12822301,0.48838147,0.46309115,0.03899453,0.03969977,0.00492554,0.00557744,0.05471758,0.05770036,0.14651445,0.13892735,0.00584918,0.00595497,0.00049255,0.00055774
47,0.00005670,0.232614,0.135931,14.8577,0.358476,40,0,0.40995232,65536.0,0.203116,0.126898,14.7808,0.454154,0.136148,14.6283,0.435824,0.07816891,0.79205547,0.13593123,0.12689752,0.54975374,0.46488100,0.04092966,0.03994350,0.00379089,0.00556630,0.06116905,0.05710388,0.16492613,0.13946431,0.00613945,0.00599152,0.00037909,0.00055663
