epoch,lr,train_loss,train_mae,train_psnr,train_ssim,train_optimizer_steps,train_skipped_optimizer_steps,train_grad_norm,train_amp_scale,val_loss,val_mae,val_psnr,val_ssim,val_foreground_mae,val_foreground_psnr,val_foreground_ssim,val_gradient_mae,val_hfen,train_rec_l1,val_rec_l1,train_rec_ms_ssim,val_rec_ms_ssim,train_rec_edge,val_rec_edge,train_rec_frequency,val_rec_frequency,train_rec_weighted_l1,val_rec_weighted_l1,train_rec_weighted_ms_ssim,val_rec_weighted_ms_ssim,train_rec_weighted_edge,val_rec_weighted_edge,train_rec_weighted_frequency,val_rec_weighted_frequency
26,0.00008550,0.248634,0.151933,14.2562,0.330219,40,0,0.39940078,65536.0,0.233135,0.139283,14.2268,0.382227,0.147469,14.1046,0.388754,0.08198025,0.80962766,0.15193333,0.13928258,0.57827167,0.54606400,0.04223500,0.04110884,0.00447206,0.00472621,0.06837000,0.06267716,0.17348151,0.16381921,0.00633525,0.00616633,0.00044721,0.00047262
27,0.00008439,0.259724,0.157461,14.1287,0.305086,40,0,0.38823722,65536.0,0.237386,0.144273,13.8073,0.380720,0.152314,13.7804,0.385135,0.08439826,0.80425929,0.15746149,0.14427258,0.60648508,0.55214107,0.04300257,0.04177385,0.00470886,0.00555238,0.07085767,0.06492266,0.18194553,0.16564233,0.00645039,0.00626608,0.00047089,0.00055524
28,0.00008323,0.253088,0.151221,14.3592,0.312498,40,0,0.42156097,65536.0,0.225176,0.138203,14.2631,0.401550,0.146374,14.1724,0.405837,0.08136617,0.80281249,0.15122138,0.13820350,0.59370073,0.52119197,0.04328927,0.04106210,0.00434884,0.00467966,0.06804962,0.06219157,0.17811023,0.15635760,0.00649339,0.00615932,0.00043488,0.00046797
29,0.00008205,0.250265,0.148542,14.4922,0.318843,40,0,0.42212470,65536.0,0.225588,0.139821,14.1860,0.404526,0.148356,14.1130,0.402077,0.08227893,0.80007475,0.14854221,0.13982105,0.58925555,0.52030794,0.04204157,0.04110837,0.00338499,0.00410258,0.06684399,0.06291947,0.17677667,0.15609239,0.00630624,0.00616626,0.00033850,0.00041026
30,0.00008084,0.256178,0.149813,14.5450,0.305824,40,0,0.39309520,65536.0,0.232534,0.139921,14.1454,0.390233,0.149128,13.9936,0.389875,0.08336205,0.80957616,0.14981297,0.13992074,0.60694631,0.54311434,0.04178240,0.04118775,0.00410409,0.00457271,0.06741583,0.06296433,0.18208390,0.16293431,0.00626736,0.00617816,0.00041041,0.00045727
31,0.00007960,0.238109,0.138791,14.7288,0.340412,40,0,0.43491296,65536.0,0.227197,0.141556,14.1679,0.403423,0.150848,14.0265,0.397757,0.08184942,0.79986387,0.13879090,0.14155621,0.56290836,0.52307027,0.04144450,0.04064812,0.00564201,0.00478598,0.06245590,0.06370029,0.16887251,0.15692109,0.00621668,0.00609722,0.00056420,0.00047860
32,0.00007832,0.232752,0.137507,14.8844,0.353658,40,0,0.42230230,65536.0,0.216990,0.133249,14.4934,0.419998,0.141873,14.3716,0.420485,0.07979025,0.79618671,0.13750669,0.13324940,0.54689230,0.50157367,0.04256302,0.04034053,0.00421361,0.00504860,0.06187801,0.05996223,0.16406770,0.15047211,0.00638445,0.00605108,0.00042136,0.00050486
33,0.00007702,0.255104,0.150446,14.5349,0.309348,40,0,0.36716717,65536.0,0.220925,0.137678,14.3969,0.415922,0.147010,14.2395,0.407714,0.08124766,0.78691640,0.15044591,0.13767773,0.60204015,0.50824662,0.04248902,0.04052077,0.00417805,0.00418212,0.06770066,0.06195497,0.18061205,0.15247399,0.00637335,0.00607812,0.00041780,0.00041821
34,0.00007570,0.253647,0.144475,14.5231,0.304857,40,0,0.36325513,65536.0,0.216378,0.134296,14.4351,0.423951,0.142975,14.3366,0.417281,0.07902282,0.79369401,0.14447547,0.13429598,0.60616394,0.49798227,0.04255098,0.04022530,0.00401671,0.00516366,0.06501396,0.06043319,0.18184919,0.14939469,0.00638265,0.00603380,0.00040167,0.00051637
35,0.00007435,0.240367,0.135817,14.9007,0.331957,40,0,0.36631003,65536.0,0.216984,0.134321,14.5111,0.423435,0.143562,14.3395,0.419995,0.07887496,0.80238563,0.13581732,0.13432103,0.57504648,0.50012268,0.04180906,0.03986585,0.00463511,0.00523197,0.06111779,0.06044446,0.17251395,0.15003681,0.00627136,0.00597988,0.00046351,0.00052320
36,0.00007297,0.239986,0.139084,14.7103,0.338404,40,0,0.38747744,65536.0,0.213333,0.132553,14.5565,0.430689,0.141399,14.4300,0.423153,0.07823816,0.79213879,0.13908422,0.13255334,0.56886643,0.49064860,0.04177249,0.03989509,0.00471900,0.00504715,0.06258790,0.05964900,0.17065994,0.14719459,0.00626587,0.00598426,0.00047190,0.00050472
37,0.00007158,0.220382,0.122971,15.4966,0.370997,40,0,0.45158596,65536.0,0.219262,0.132816,14.4839,0.417427,0.142065,14.3136,0.410343,0.07955500,0.79854447,0.12297122,0.13281560,0.52849284,0.50960433,0.04059390,0.04030030,0.00407556,0.00568533,0.05533705,0.05976702,0.15854786,0.15288131,0.00608908,0.00604505,0.00040756,0.00056853
38,0.00007016,0.247048,0.136779,14.8095,0.314655,40,0,0.37847391,65536.0,0.211159,0.131527,14.6237,0.436028,0.140562,14.4750,0.428503,0.07786763,0.79552738,0.13677865,0.13152660,0.59630017,0.48474077,0.04180735,0.03999930,0.00336053,0.00549752,0.06155039,0.05918697,0.17889006,0.14542224,0.00627110,0.00599989,0.00033605,0.00054975
39,0.00006872,0.243164,0.143830,14.6067,0.333635,40,0,0.46088196,65536.0,0.212085,0.131686,14.4895,0.433602,0.141128,14.3280,0.423988,0.07757968,0.79940042,0.14383014,0.13168635,0.57240696,0.48767695,0.04203665,0.03964876,0.00413332,0.00575822,0.06472356,0.05925886,0.17172209,0.14630309,0.00630550,0.00594731,0.00041333,0.00057582
40,0.00006727,0.251108,0.138557,14.9190,0.307629,40,0,0.38357205,65536.0,0.213026,0.132169,14.6780,0.431940,0.141769,14.4744,0.420124,0.07825553,0.79234411,0.13855743,0.13216943,0.60764473,0.49023756,0.04089136,0.03978812,0.00330024,0.00509809,0.06235084,0.05947624,0.18229342,0.14707128,0.00613370,0.00596822,0.00033002,0.00050981
41,0.00006580,0.223291,0.132641,14.9449,0.375455,40,0,0.48481629,65536.0,0.212648,0.132173,14.6065,0.432118,0.141479,14.4153,0.419701,0.07847667,0.79936579,0.13264127,0.13217294,0.52256358,0.48872882,0.04181663,0.04021827,0.00560854,0.00519247,0.05968857,0.05947782,0.15676908,0.14661865,0.00627249,0.00603274,0.00056085,0.00051925
42,0.00006431,0.227767,0.131302,15.1421,0.363762,40,0,0.40242407,65536.0,0.211974,0.131821,14.5441,0.434675,0.140898,14.3842,0.427611,0.07707611,0.80632593,0.13130245,0.13182131,0.54073354,0.48683395,0.04059608,0.03986819,0.00371529,0.00623731,0.05908610,0.05931959,0.16222007,0.14605019,0.00608941,0.00598023,0.00037153,0.00062373
43,0.00006281,0.236100,0.139562,14.8428,0.353216,40,0,0.39226684,65536.0,0.205506,0.128671,14.7616,0.449005,0.137697,14.6150,0.435239,0.07639075,0.79269250,0.13956159,0.12867111,0.55539946,0.47055993,0.04146280,0.03940903,0.00457980,0.00524605,0.06280271,0.05790200,0.16661984,0.14116799,0.00621942,0.00591136,0.00045798,0.00052461
44,0.00006130,0.237383,0.135857,14.8326,0.341461,40,0,0.37879200,65536.0,0.214599,0.135010,14.5951,0.431550,0.145078,14.3732,0.412842,0.07884658,0.78240436,0.13585702,0.13501013,0.56568912,0.49094792,0.04099982,0.03956523,0.00390201,0.00625761,0.06113565,0.06075456,0.16970674,0.14728438,0.00614997,0.00593478,0.00039020,0.00062576
45,0.00005978,0.206771,0.125759,15.3653,0.416689,40,0,0.48126544,65536.0,0.207648,0.128784,14.6453,0.444024,0.137912,14.5034,0.431886,0.07761189,0.79407020,0.12575887,0.12878423,0.47857659,0.47695944,0.04040821,0.03969164,0.00544922,0.00653364,0.05659149,0.05795290,0.14357298,0.14308784,0.00606123,0.00595375,0.00054492,0.00065336
46,0.00005824,0.210891,0.121251,15.5594,0.397315,40,0,0.53349527,65536.0,0.207935,0.128652,14.7210,0.443260,0.138491,14.5194,0.424413,0.07823538,0.79345208,0.12125086,0.12865195,0.49980061,0.47831102,0.03938193,0.03987333,0.00480982,0.00567268,0.05456289,0.05789338,0.14994019,0.14349331,0.00590729,0.00598100,0.00048098,0.00056727
47,0.00005670,0.237369,0.136996,14.8160,0.344404,40,0,0.41428242,65536.0,0.204665,0.127331,14.7626,0.450157,0.136355,14.6137,0.435548,0.07774396,0.78861292,0.13699600,0.12733142,0.56370537,0.46938644,0.04142660,0.03972900,0.00394978,0.00590555,0.06164820,0.05729914,0.16911162,0.14081594,0.00621399,0.00595935,0.00039498,0.00059055
48,0.00005516,0.212277,0.126131,15.3926,0.402247,40,0,0.40337811,65536.0,0.205410,0.128855,14.7540,0.450956,0.138135,14.5842,0.435560,0.07640883,0.78872970,0.12613132,0.12885511,0.49646003,0.46982274,0.04030656,0.03930587,0.00533742,0.00582655,0.05675909,0.05798480,0.14893801,0.14094683,0.00604598,0.00589588,0.00053374,0.00058266
49,0.00005361,0.201046,0.124859,15.2516,0.435483,40,0,0.41719504,65536.0,0.201133,0.124359,15.0104,0.456328,0.133286,14.8339,0.442050,0.07631445,0.78462390,0.12485904,0.12435862,0.46027635,0.46234141,0.04131074,0.03948152,0.00579970,0.00546523,0.05618657,0.05596138,0.13808291,0.13870243,0.00619661,0.00592223,0.00057997,0.00054652
50,0.00005205,0.224283,0.124305,15.3685,0.362807,40,0,0.45423988,131072.0,0.204785,0.127664,14.8120,0.450915,0.137435,14.5899,0.433196,0.07608436,0.79768950,0.12430541,0.12766363,0.53909568,0.46975181,0.04115710,0.03907031,0.00443760,0.00550114,0.05593743,0.05744863,0.16172871,0.14092555,0.00617356,0.00586055,0.00044376,0.00055011
